text,audio
አጋጣሚ አይደለህም፡፡,1.mp3
ዓለማት ሳይፈጠሩ እግዚአብሔር አእምሮ ውስጥ ስለነበርክ ለዓላማዎቹ አቀደህ፡፡,2.mp3
እነዚህ ዓላማዎች ጥቂት ከሆነው ዕድሜህ እጅግ እርቀው የሚሄዱ ናቸው፡፡,3.mp3
ለዘላለም ነው የተፈጠርከው,4.mp3
የግል ጥረትን የሚያበረታቱ መጻሕፍት የሕይወትን ትርጉምና ዓላማዎች ከውስጥህ ፈትሽህ እንድታገኝ ያሳስቡሃል፡፡,5.mp3
የዓላማ መር መጽሐፍ ደራሲ ግን ይህ ከተሣሣተ ሥፍራ መጀመር ነው ይላሉ፡፡,6.mp3
ፈጣሪህ ከሆነው እግዚአብሔር እና አንተን ከፈጠረበት ምክንያት ነው መጀመር ያለብህ::,7.mp3
በእግዚአብሔርና ለእግዚኣብሔር ነው የተፈጠርከው,8.mp3
ይህን እስካልተገነዘብክ ድረስ ሕይወት ትርጉም የለሽ ትሆንብሃለች,9.mp3
ይህ መጽሐፍ በሕይወት የምትኖረው ለምን እንደሆነና እግዚኣብሔር እዚህና አሁን እንዲሁም ለዘላለም ለአንተ ያለውን አስደናቂ እቅድ እንድትገነዘብ ይረዳሃል,10.mp3
ለምንድነው የተፈጠርኩት? ለሚለው የሕይወት ዋና ጥያቄ ተገቢውን መልስ ለመስጠት ትችል ዘንድ ይህ መጽሐፍ በቀጣዮቹ የግል የንባብ ቀናት ወቅት ይመራሃል,11.mp3
እግዚአብሔር ለምን እንደፈጠረህ ማወቁ ሥጋትን ይቀንስልሃል,12.mp3
ለሕይወትህ ትርጉም ይሰጠዋል,13.mp3
ከሁሉም ይልቅ ለዘላለም ሕይወት ያዘጋጀሃል፡፡,14.mp3 
