text,audio
የወቅቱ የዓለማችን አሳሳቢ ሁኔታ የሆነው የአየር ንብረት ለውጥ በበርካታ ነገሮች ላይ ለውጥ እያስከተለ ነው፤ ከእነዚህም መካከል የቡና ምርት አንዱ ነው።,1.mp3
ቡና የሚበቅልባቸው በርካታ የዓለማችን አካባቢዎች በበካይ ጋዞች ምክንያት በሚከሰተው የአየር ንብረት ለውጥ ምርታቸውና ጣዕማቸው እንደሚቀየር እየተነገረ ነው።,2.mp3
በዚህ ጊዜ ሚሊዮኖች የሚጠጡትን ቡና ጣዕሙ እንደተጠበቀ ሊያቀርቡ ከሚችሉ ጥቂት አገራት መካከል ኢትዮጵያ ትጠቅሳለች።,3.mp3
በዚህም በቀጣይ ጊዜያት የኢትዮጵያ ቡና ተፈላጊነት የበለጠ እንደሚጨምር እየተነገረ ነው።,4.mp3
በሮስትዎርክስ ኮፊ ጥግ የተተከለው የቡና ዛፍ የመጣው ከኢትዮጵያ ነው።,5.mp3
በስጦታ መልክ ይህን የቡና ተክል ያገኘው ቤተሰብ የቡናውን ሕይወት ለማየት በሚል ነው የተከለው።,6.mp3
የዚህ ቤተሰብ የቡና ንግድ በዘጠናዎቹ ከፊንላንድ ወደ እንግሊዝ ሲዘዋወር ይህም መገኛውን ከኢትዮጵያ ያደረገው የቡና ተክል አብሯቸው ተጓዘ።,7.mp3
ይህ የቡና ተክል ለሰላሳ ዓመታት ያክል ምንም ፍሬ አላፈራም ይላል አሁን የቤተሰቦቹን ኩባንያ የሚያስተዳድረው ዊሊ ሊትል።,8.mp3
ነገር ግን ይህ የቡና ችግኝ በስተመጨረሻ አጎነቆለ።,9.mp3
ሊትል በዚህ ሳይገረም አልቀረም።,10.mp3
የቡናው ተክል ያጎነቆለው በተነፃፃሪ ሞቃታማ ወደሆነ ቦታ ስለተዘዋወረ ይሁን አሊያም ጊዜው ስለደረሰ ሊትል የሚያውቀው ነገር የለም።,11.mp3
ቡናው በማበቡ የተደነቀው ሊትል ችግኙን በአግባቡ ይንከባከበው፤ ውሃ ያጠጣው፤ ማዳበሪያ ይሰጠው ጀመር።,12.mp3
ነገር ግን ሃምሳ ግራም ከሚሞላ ያልደረሰ ፍሬ በቀር የቡናው ተክል ምንም ሊሰጥ አልቻለም። ,13.mp3
በሚቀጥሉት ጥቂት ዓመታት ተክሉ የተሻለ ምርት መስጠት ቻለ።,14.mp3
ይህ ቡናውን ቆልቶ ለናሙና ያክል የሚሆን ምርት ለማግኘት በቂ ነበር።,15.mp3
ሊትል ሃምሳውን ግራም ለሁለት ከፍሎ ሃያ አምስቱን ቆላው።,16.mp3
ቡናው ከፈላ በኋላ የሊትል ኩባንያ ሰዎች ተሰባስበው ለመቅመስ ተዘጋጁ። ,17.mp3
አንድ የቡና ስኒ ኣስራ ሁለት ግራም ፍሬ ይሆናል። ,18.mp3
ይህም ማለት ቡናው ከሁለት ስኒ አይዘልም ማለት።,19.mp3
ሊትል ቡናውን ቀመሰው።,20.mp3
ጣዕሙ ለየት ያለ ነው።,21.mp3
ምንም እንኳ ቡናው እንደተለመደው የኢትዮጵያ ቡና ግሩም የሚባል ባይሆንም ለየት ያለት የቸኮሌት ቃናና ጣዕም ያለው ሆነ።,22.mp3
የትየለሌ የዓለማችን ሰዎች ጠዋት ጠዋት የሚጠቱት በቀን ውስጥ ሳይቀምሱት የማይውሉት ቡና ከአየር ንብረት ለውጥ ጋር ያለው ቁርኝት አሉታዊ ነው።,23.mp3
በየቀኑ የሚጠጣ ቡና ከ300 ግራም በላይ ተመጣጣኝ በካይ የሆነ ካርበን ያመነጫል።,24.mp3
ይህ በዓመት ሲሰላ 116 ኪሎ ግራም ይሆናል።,25.mp3
በሌላ አነጋገር አንድ መኪና 1 ሺህ ማይል ተጉዞ ከሚያመነጨው ጭስ በላይ ማለት ነው።,26.mp3
አንድ ስኒ ቡና የሚያመነጨው የበካይ ነገር መጠን ቡና አየር ንብረት ላይ የሚያደርሰው ጫና ከአንድ ብርጭቆ ወይን በላይ ነው።,27.mp3
50 በመቶ የሚሆነው የካርበን ልቀት የሚመነጨው ገበሬዎች ቡናው በሚያበቅሉበት ወቅት ነው። ,28.mp3
 20 በመቶ ደግሞ ከተረፈ ምርት ይመነጫል።,29.mp4
ይህን የልቀት መጠን ቡናን ቤት ውስጥ በማብቀል መቀየር ይቻል ይሆን?,30.mp4
ምንም እንኳ የቡና ምርትን ለማመላለስ ጥቅም ላይ የሚውለውን ትራንስፖርት መቀነስ ለውጥ ቢያመጣም ዋናው ቁም ነገር ግን ቡና የትና እንዴት ይመረታል የሚለው ነው።,31.mp3
የአየር ንብረቱ እየተለወጠ ሲመጣ በአንድ ወቅት ለቡና ምርት አመቺ የሆኑ ሥፍራዎች እየደረቁ ሌሎች ቦታዎች እየተመነጠሩ መሄዳቸው አይቀርም።,32.mp3
በጣም ታዋቂው የቡና ዓይነት አራቢካ [ኮፊ አራቢካ] የአየር ንብረት ለውጥን መቋቋም አይችልም።,33.mp3
ኢትዮጵያና ኬንያ ቡናን ለማምረት ወደፊት የበለጠ አመቺ የሚባሉ ቦታዎች ናቸው ተብሎ ተተንብዮላቸዋል።,34.mp4
በተቃራኒው ደግሞ ብራዚል ውስጥ ያለው ለቡና አመቺ የሆነው ቦታ እና ኒካራጉዋ የሚገኘው መሬት ዝቅተኛ ሥፍራ ላይ ስላሉ ይጎዳሉ የሚል ትንበያ አለ።,35.mp3
ሊትል፤ ከፍታ ቦታ ለቡና ምርት አመቺ ነው ይላል። ,36.mp3
"""ቡና ልክ እንደ ተራራማ ቦታ ደረቅ ያለና ለስላሳ አየር ይፈልጋል"" ይላል። ",37.mp3
"በእንደዚህ ዓይነት ሥፍራ የበቀለ ""ሃይ ግሮውን"" የተባለው ቡና ዋጋውም ከፍ ያለ ነው።",38.mp3
ምንም እንኳ ቡናን ቤት ውስጥ ማብቀል ከአየር ንብረት ለውጥ አንፃር ጥቅም ቢኖረውም የኢትዮጵያ ቡና ለየት የሚያደርገውን ዓይነት የእሣተ ገሞራ አፈር ማግኘት የማይታሰብ ነው።,39.mp3
አጥኚዎች የአየር ንብረቱን የማይጎዳ የቡና ዝርያ ለማግኘት ወዲያ ወዲህ እያሉ ነው። ,40.mp3
ይህ ከተሳካ ቡናን በቀዝቃዛ ሥፍራም ማብቀል ይቻላል ማለት ነው።,41.mp3
